state,death_rate_2022,death_rate_2019,expanded_medicaid,mortality_change,mortality_pct_change,death_rate_2023,mortality_change_2019_2023
AL,1057.3,975.8,False,81.5,8.352121336339415,1023.4,47.60000000000002
AK,815.1,751.5,True,63.60000000000002,8.463073852295413,814.2,62.700000000000045
AZ,788.2,715.5,True,72.70000000000005,10.160726764500357,795.8,80.29999999999995
AR,1029.1,959.8,True,69.29999999999995,7.220254219629085,987.6,27.800000000000068
CA,650.3,601.1,True,49.19999999999993,8.184994177341528,688.4,87.29999999999995
CO,744.0,681.2,True,62.799999999999955,9.219025249559596,712.8,31.59999999999991
CT,684.0,636.9,True,47.10000000000002,7.395195478097036,714.2,77.30000000000007
DE,850.5,785.5,True,65.0,8.274984086569065,826.4,40.89999999999998
DC,896.7,778.9,True,117.80000000000008,15.123892669148807,782.1,3.2000000000000455
FL,812.2,737.9,False,74.30000000000007,10.069115056240692,812.4,74.5
GA,877.4,806.3,False,71.10000000000002,8.818057794865437,862.8,56.5
HI,564.9,569.2,True,-4.300000000000068,-0.7554462403373274,668.4,99.19999999999993
ID,771.3,709.7,True,61.59999999999991,8.679723826969129,782.4,72.69999999999993
IL,777.2,732.7,True,44.5,6.073427050634638,784.2,51.5
IN,905.5,856.3,True,49.200000000000045,5.745649889057579,898.6,42.30000000000007
IA,777.4,732.5,True,44.89999999999998,6.129692832764502,812.4,79.89999999999998
KS,833.2,789.5,False,43.700000000000045,5.535148828372393,858.2,68.70000000000005
KY,1028.2,970.6,True,57.60000000000002,5.934473521533074,1012.8,42.19999999999993
LA,967.4,913.7,True,53.69999999999993,5.8772025829046655,986.4,72.69999999999993
ME,824.6,777.9,True,46.700000000000045,6.003342331919276,802.6,24.700000000000045
MD,757.9,723.9,True,34.0,4.696781323387208,756.4,32.5
MA,676.6,631.0,True,45.60000000000002,7.226624405705233,712.8,81.79999999999995
MI,858.3,813.9,True,44.39999999999998,5.455215628455582,878.4,64.5
MN,670.4,633.7,True,36.69999999999993,5.791383935616211,698.2,64.5
MS,1099.2,1033.5,False,65.70000000000005,6.357039187227871,1042.8,9.299999999999955
MO,928.9,880.2,True,48.69999999999993,5.532833446943868,898.6,18.399999999999977
MT,834.9,784.9,True,50.0,6.370238246910434,784.2,-0.6999999999999318
NE,748.1,717.9,True,30.200000000000045,4.206714027023269,796.4,78.5
NV,889.6,817.3,True,72.30000000000007,8.846200905420295,842.8,25.5
NH,689.1,662.5,True,26.600000000000023,4.015094339622645,724.6,62.10000000000002
NJ,686.7,649.2,True,37.5,5.776340110905729,742.8,93.59999999999991
NM,843.6,816.0,True,27.600000000000023,3.3823529411764732,812.4,-3.6000000000000227
NY,668.1,621.8,True,46.30000000000007,7.446124155677078,712.4,90.60000000000002
NC,846.5,787.5,True,59.0,7.492063492063491,868.2,80.70000000000005
ND,775.9,756.9,True,19.0,2.51023913330691,786.4,29.5
OH,954.6,905.3,True,49.30000000000007,5.445708604882367,898.2,-7.099999999999909
OK,1015.1,970.5,True,44.60000000000002,4.595569294178261,986.8,16.299999999999955
OR,780.6,736.5,True,44.10000000000002,5.987780040733201,784.6,48.10000000000002
PA,856.7,808.1,True,48.60000000000002,6.014107164954835,842.8,34.69999999999993
RI,756.5,699.6,True,56.89999999999998,8.133218982275583,738.4,38.799999999999955
SC,921.8,867.5,False,54.299999999999955,6.259365994236306,932.8,65.29999999999995
SD,793.7,741.5,True,52.200000000000045,7.039784221173304,798.4,56.89999999999998
TN,1008.7,952.9,False,55.80000000000007,5.855808584321552,968.4,15.5
TX,761.3,699.0,False,62.299999999999955,8.912732474964228,768.4,69.39999999999998
UT,614.9,577.3,True,37.60000000000002,6.5130781222934395,686.2,108.90000000000009
VT,762.1,712.4,True,49.700000000000045,6.9764177428411065,714.8,2.3999999999999773
VA,768.9,727.2,True,41.69999999999993,5.734323432343224,742.6,15.399999999999977
WA,699.7,646.9,True,52.80000000000007,8.162003400834761,728.4,81.5
WV,1180.1,1119.7,True,60.399999999999864,5.394302045190664,1098.2,-21.5
WI,753.0,707.3,False,45.700000000000045,6.461190442527929,784.2,76.90000000000009
WY,849.2,802.8,False,46.40000000000009,5.779770802192338,824.6,21.800000000000068
